text,standardized_text,processed_text
Integrated self-reflective questioning. Rich tangible examples. Provided students to make predictions and to discover their own answers.,integrated self reflective questioning. rich tangible examples. provided students to make predictions and to discover their own answers.,integrate reflective question rich tangible example provided student make prediction discover answer  
"It is a web based, this means it is student pace. Students were engaged because of the simulation they were able to visualize.",it is a web based  this means it is student pace. students were engaged because of the simulation they were able to visualize.,web base mean student pace student engage simulation able visualize  
"The visuals, where students could watch a model that explained heat transfer.  It's something they can't see, so the model helps them begin to visualize heat flow. ",the visuals  where students could watch a model that explained heat transfer.  it's something they can't see  so the model helps them begin to visualize heat flow. ,visuals student watch model explain heat transfer something see model help begin visualize heat flow  
I thought some of the aspects were keeping students engaged in lessons.  This type of teaching allowed the teacher to be more interactive and engaged in teaching students vise just lecturing.  This also help the students get a better understanding of what was in the lesson.  Easiest way to explain this aspect is teacher engaging and learning herself vise just sending her student to the text books.,i thought some of the aspects were keeping students engaged in lessons.  this type of teaching allowed the teacher to be more interactive and engaged in teaching students vise just lecturing.  this also help the students get a better understanding of what was in the lesson.  easiest way to explain this aspect is teacher engaging and learning herself vise just sending her student to the text books.,think aspect keep student engage lesson type teach allow teacher interactive engage teach student vise lecture also help student get good understanding lesson easy way explain aspect teacher engaging learn vise send student text book  
I liked that the students could move at their own pace without having to bring the whole class back together. Students are being assessed as they work so a teacher would not have to stop the learning process to take a grade. The visuals also appeared helpful and the interaction with the visuals appeared meaningful. ,i liked that the students could move at their own pace without having to bring the whole class back together. students are being assessed as they work so a teacher would not have to stop the learning process to take a grade. the visuals also appeared helpful and the interaction with the visuals appeared meaningful. ,like student move pace bring whole class back together student assess work teacher stop learning process take grade visuals also appear helpful interaction visuals appear meaningful  
I think the most interisting feature of this technology is the capacity to break complex concepts in small manageable pieces of information,i think the most interisting feature of this technology is the capacity to break complex concepts in small manageable pieces of information,think interisting feature technology capacity break complex concept small manageable piece information 
The simulations and diagrams seemed useful. I don't see how this is a novel feature though.\r\n\r\nAnd the ability to mask student names to discuss student work anonymously. Seventh graders are really subject to embarrassment so this is an important detail.,the simulations and diagrams seemed useful. i don't see how this is a novel feature though.    and the ability to mask student names to discuss student work anonymously. seventh graders are really subject to embarrassment so this is an important detail.,simulation diagram seem useful see novel feature ability mask student name discuss student work anonymously seventh grader really subject embarrassment important detail  
"The use of everyday, simple examples, such as the chocolate chips and the metal objects in their classroom, probably helped the students feel less intimated by the topic and also more connected.  Being able to work on their own also allows students to feel more connected to the topic, which makes them understand the topic better.",the use of everyday  simple examples  such as the chocolate chips and the metal objects in their classroom  probably helped the students feel less intimated by the topic and also more connected.  being able to work on their own also allows students to feel more connected to the topic  which makes them understand the topic better.,use everyday simple example chocolate chip metal object classroom probably help student feel less intimate topic also connected able work also allow student feel connected topic make understand topic well  
For the students to be able to have access to information and make predictions on what they think will happen with that information is great.  I think being able to test those predictions and see the result in real time is most effective.,for the students to be able to have access to information and make predictions on what they think will happen with that information is great.  i think being able to test those predictions and see the result in real time is most effective.,student able access information make prediction think happen information great think able test prediction see result real time effective  
Touching and feeling the temperature of different objects by students and learning heat flow the most effective  way to learn.,touching and feeling the temperature of different objects by students and learning heat flow the most effective  way to learn.,touch feel temperature different object student learn heat flow effective way learn  
Chunked activities\r\nFeedback\r\nFrees teacher to move through small groups/ classroom while students working through sections,chunked activities  feedback  frees teacher to move through small groups  classroom while students working through sections,chunked activity feedback free teacher move small group classroom student work section 
"The concept of scaffolding is very interesting to me. In another course The Science of Everyday thinking this concept was introduced to me. The ability to visualize components of concepts that culminate in a more comprehensive understand of the topic as a whole seems powerful. I know my personal understand of calculus didn't gel until running through 3 semesters of it and then the broader tool started to make sense. If WISE provides a structure to explore different components of a concept, then it could help students understand more complex topics.  Of course this is not necessarily applicable to simpler topics due to resource and time constraints.",the concept of scaffolding is very interesting to me. in another course the science of everyday thinking this concept was introduced to me. the ability to visualize components of concepts that culminate in a more comprehensive understand of the topic as a whole seems powerful. i know my personal understand of calculus didn't gel until running through  semesters of it and then the broader tool started to make sense. if wise provides a structure to explore different components of a concept  then it could help students understand more complex topics.  of course this is not necessarily applicable to simpler topics due to resource and time constraints.,concept scaffolding interesting course science everyday think concept introduce ability visualize component concept culminate comprehensive understand topic whole seem powerful know personal understand calculus gel run semester broad tool start make sense wise provide structure explore different component concept help student understand complex topic course necessarily applicable simpler topic due resource time constraint  
that is is interactive and also allows them to use all their senses ,that is is interactive and also allows them to use all their senses ,interactive also allow use sens 
"In my perspective, the most effective aspect of the WISE activity is the reflections/ feedback between the teacher and the students.",in my perspective  the most effective aspect of the wise activity is the reflections  feedback between the teacher and the students.,perspective effective aspect wise activity reflection feedback teacher student  
"It was not possible to determine from the video. I would need to look at the resource in more detail. Most of the aspects could be delivered with less technology. For example, a well-scaffolded worksheet is critical - but it could have been in paper or Word format. Simulations are really useful - but I couldn't tell how good this one was. I saw a classroom that mostly showed students interacting with their computer. Is that better or worse than students interacting in small groups face-to-face?",it was not possible to determine from the video. i would need to look at the resource in more detail. most of the aspects could be delivered with less technology. for example  a well scaffolded worksheet is critical   but it could have been in paper or word format. simulations are really useful   but i couldn't tell how good this one was. i saw a classroom that mostly showed students interacting with their computer. is that better or worse than students interacting in small groups face to face ,possible determine video need look resource detail aspect deliver less technology example well scaffolded worksheet critical paper word format simulation really useful tell good saw classroom mostly show student interact computer good bad student interact small group face face 
I though the visual of seeing the movement of heat was effective. I also thought the systems suggestion to go and explore was also effective. This allowing students to move around the classroom and engage in a different way. ,i though the visual of seeing the movement of heat was effective. i also thought the systems suggestion to go and explore was also effective. this allowing students to move around the classroom and engage in a different way. ,visual see movement heat effective also think system suggestion go explore also effective allow student move classroom engage different way  
"The collection of data quickly and in small pieces allows teachers to see any Aha!'s or misconceptions that the students might be having in real time. Instead of guessing or only having one or two points in the lesson where you were collecting data from everyone, it was a constant flow of information to the teacher, rather a constant flow of information to the student. While that might seem counterintuitive, it allows the students to take control of their learning and the teacher takes the role of moderator, which is seeing that the scaffolding is truly meeting the students' needs and making adjustments as they go along.",the collection of data quickly and in small pieces allows teachers to see any aha 's or misconceptions that the students might be having in real time. instead of guessing or only having one or two points in the lesson where you were collecting data from everyone  it was a constant flow of information to the teacher  rather a constant flow of information to the student. while that might seem counterintuitive  it allows the students to take control of their learning and the teacher takes the role of moderator  which is seeing that the scaffolding is truly meeting the students' needs and making adjustments as they go along.,collection data quickly small piece allow teacher see aha misconception student real time instead guess point lesson collect data everyone constant flow information teacher rather constant flow information student seem counterintuitive allow student take control learning teacher take role moderator see scaffolding truly meet student need make adjustment go along  
I think the abundance of visual simulations would be effective in helping students learn the topics.,i think the abundance of visual simulations would be effective in helping students learn the topics.,think abundance visual simulation effective help student learn topic  
"The wise activities tailored to the students background knowledge and then furthering their understanding through simulations and reflections on their learning would be most beneficial to the students. This combined with real life activities and experiments would confirm learned content to the students. The testing of hypothesis in both scenarios, real life and simulation would deepen their understanding of concepts. Transparent reflections and receiving individualised feedback from the teacher would strengthen the student learning.",the wise activities tailored to the students background knowledge and then furthering their understanding through simulations and reflections on their learning would be most beneficial to the students. this combined with real life activities and experiments would confirm learned content to the students. the testing of hypothesis in both scenarios  real life and simulation would deepen their understanding of concepts. transparent reflections and receiving individualised feedback from the teacher would strengthen the student learning.,wise activity tailor student knowledge understanding simulation reflection learning beneficial student combine real life activity experiment confirm learn content student testing hypothesis scenario real life simulation deepen understanding concept transparent reflection receive individualised feedback teacher strengthen student learn  
Some aspects of the WISE program that I thought was most effective in helping students learn topics was that it broke the lesson down into smaller pieces so that students could understand better. Another thing that I liked was the online simulation. Students could investigate without the threat of injury which can be a huge concern in the science lab with students working with heat.,some aspects of the wise program that i thought was most effective in helping students learn topics was that it broke the lesson down into smaller pieces so that students could understand better. another thing that i liked was the online simulation. students could investigate without the threat of injury which can be a huge concern in the science lab with students working with heat.,aspect wise program think effective help student learn topic break lesson small piece student understand good thing like online simulation student investigate threat injury huge concern science lab student work heat  
I thought student become more engaged as the lesson went on. ,i thought student become more engaged as the lesson went on. ,think student become engaged lesson go  
"I loved that they were able to revisit questions that they had answered previously and go deeper with their thinking. Also, this allows students to move at their own pace.",i loved that they were able to revisit questions that they had answered previously and go deeper with their thinking. also  this allows students to move at their own pace.,love able revisit question answer previously go deeply thinking also allow student move pace  
"Jennifer mentioned the various simulations as helpful, and what I saw of the WISE activity, the melting chocolate and burning a finger simulations were visually memorable. Jennifer also mentioned how WISE broke down the scientific concepts into small chunks that built up to a comprehensive knowledge in a methodical manner. I noticed how WISE used a method I've used in the past KWL - asking students before a lesson 'What do you think you know about this topic? and, What do you want to want to know about this topic?' After the lesson, I would ask, 'What did we learn about this topic?' I teach a survey of world religions and this method is really great at uncovering biases, misunderstandings, and incorrect notions of a topic before we begin.",jennifer mentioned the various simulations as helpful  and what i saw of the wise activity  the melting chocolate and burning a finger simulations were visually memorable. jennifer also mentioned how wise broke down the scientific concepts into small chunks that built up to a comprehensive knowledge in a methodical manner. i noticed how wise used a method i've used in the past kwl   asking students before a lesson 'what do you think you know about this topic  and  what do you want to want to know about this topic ' after the lesson  i would ask  'what did we learn about this topic ' i teach a survey of world religions and this method is really great at uncovering biases  misunderstandings  and incorrect notions of a topic before we begin.,jennifer mention various simulation helpful saw wise activity melting chocolate burn finger simulation visually memorable jennifer also mention wise break scientific concept small chunk build comprehensive knowledge methodical manner notice wise use method use past kwl ask student lesson think know topic want want know topic lesson ask learn topic teach survey world religion method really great uncover bias misunderstanding incorrect notion topic begin  
"simulating and making some visual experiments in computer, and then experience then practically,\r\ngathering students' ideas and thoughts about the topic, make some activities and assignments for students\r\nonline and in my view the most interesting part was that the hard topics were broken into small simple parts\r\nthat will make it much easier for students to learn the topic.",simulating and making some visual experiments in computer  and then experience then practically   gathering students' ideas and thoughts about the topic  make some activities and assignments for students  online and in my view the most interesting part was that the hard topics were broken into small simple parts  that will make it much easier for students to learn the topic.,simulating make visual experiment computer experience practically gather student idea thought topic make activity assignment student online view interesting part hard topic break small simple part make much easier student learn topic  
"Students seemed to be working in pairs, so that everyone had a chance to use the equipment and be involved in measurement-taking. Many methods to deliver the instruction were used, including scaffolded computer tutorials mixed with the hands on labs. Students were grouped in tables of four and appeared to be allowed to discuss ideas and clarify with each other.",students seemed to be working in pairs  so that everyone had a chance to use the equipment and be involved in measurement taking. many methods to deliver the instruction were used  including scaffolded computer tutorials mixed with the hands on labs. students were grouped in tables of four and appeared to be allowed to discuss ideas and clarify with each other.,student seem work pair everyone chance use equipment involve measurement taking many method deliver instruction use include scaffolded computer tutorial mixed hand lab student group table appear allow discuss idea clarify  
Tailoring lesson plans to suite students. Anonymous answer reviews - removes or reduces anxiety and stress for the weaker students which helps to prevent them from losing interest in the subject.,tailoring lesson plans to suite students. anonymous answer reviews   removes or reduces anxiety and stress for the weaker students which helps to prevent them from losing interest in the subject.,tailor lesson plan suite student anonymous answer review remove reduces anxiety stress weak student help prevent lose interest subject  
"I think the simulation are effective in letting students test their own thinking because they can run more tests in simulated experiments then in real time.  It is a tool in which a student can run through the we do part of a lesson until they grasp the concept and then move on to test in real time.  In this way the WISE activity meets the learning pace of individual students and provides a personalized learning experience.\r\n\r\nAnother aspect of the WISE activity that I thought was effective, was being able to monitor the students with the assessment tool.  This allows teachers to showcase thinking that is novel and innovative as exemplars without singling out the student.  \r\n\r\nThe continuous monitoring allows teachers to catch when and where students are getting stuck and then be able to stop the program and address emerging issues.",i think the simulation are effective in letting students test their own thinking because they can run more tests in simulated experiments then in real time.  it is a tool in which a student can run through the we do part of a lesson until they grasp the concept and then move on to test in real time.  in this way the wise activity meets the learning pace of individual students and provides a personalized learning experience.    another aspect of the wise activity that i thought was effective  was being able to monitor the students with the assessment tool.  this allows teachers to showcase thinking that is novel and innovative as exemplars without singling out the student.      the continuous monitoring allows teachers to catch when and where students are getting stuck and then be able to stop the program and address emerging issues.,think simulation effective let student test thinking run test simulated experiment real time tool student run part lesson grasp concept move test real time way wise activity meet learn pace individual student provide personalized learning experience aspect wise activity think effective able monitor student assessment tool allow teacher showcase thinking novel innovative exemplar single student continuous monitoring allow teacher catch student get stuck able stop program address emerge issue  
"The platform WISE is built on - though I have never actually seen it, from the pages shown on screen and through her narration - the lesson plans can be modified at any state of the instruction. Jump in and run the activity, make modifications as you progress or use other variables when to make modifications, alter how the class is conducted. It is a flexible platform.",the platform wise is built on   though i have never actually seen it  from the pages shown on screen and through her narration   the lesson plans can be modified at any state of the instruction. jump in and run the activity  make modifications as you progress or use other variables when to make modifications  alter how the class is conducted. it is a flexible platform.,platform wise build never actually see page show screen narration lesson plan modify state instruction jump run activity make modification progress use variable make modification alter class conduct flexible platform  
"I consider that using simulations helps the kids a lot to understand concepts that could be hard to demonstrate  phisically. Also, the fact that they are able to predict what the result could be and debate their ideas in group in a collaborative way and confirm those ideas interacting with their surroundings, touching surfaces and objects and comparing them. In my opinion it's very effective once the kid is able to test their prediction in real life. \r\n\r\n",i consider that using simulations helps the kids a lot to understand concepts that could be hard to demonstrate  phisically. also  the fact that they are able to predict what the result could be and debate their ideas in group in a collaborative way and confirm those ideas interacting with their surroundings  touching surfaces and objects and comparing them. in my opinion it's very effective once the kid is able to test their prediction in real life.     ,consider use simulation help kid lot understand concept hard demonstrate phisically also fact able predict result debate idea group collaborative way confirm idea interact surroundings touch surface object compare opinion effective kid able test prediction real life  
"The stimulations that were provided through the WISE activity allowed students to learn and see examples of the science topic that was being covered. The WISE activity was a major factor in how students were able to cover the science topic and also allowed them to have discussions, be more of a critical thinker and be able to have questions and theories concerning the topic.",the stimulations that were provided through the wise activity allowed students to learn and see examples of the science topic that was being covered. the wise activity was a major factor in how students were able to cover the science topic and also allowed them to have discussions  be more of a critical thinker and be able to have questions and theories concerning the topic.,stimulation provide wise activity allow student learn see example science topic cover wise activity major factor student able cover science topic also allow discussion critical thinker able question theory concern topic  
"The WISE activity kept the students engaged with inquiry and investigation. I particularly liked the observation Jennifer made about her classroom demonstration versus the WISE activities. For instance, the students seemed to develop deeper understanding when they watched the heating of the glass and metal rods. It was readily apparent which rod conducted heat better when they saw the chips melting.",the wise activity kept the students engaged with inquiry and investigation. i particularly liked the observation jennifer made about her classroom demonstration versus the wise activities. for instance  the students seemed to develop deeper understanding when they watched the heating of the glass and metal rods. it was readily apparent which rod conducted heat better when they saw the chips melting.,wise activity keep student engage inquiry investigation particularly like observation jennifer make classroom demonstration wise activity instance student seem develop deeply understand watch heating glass metal rod readily apparent rod conduct heat well saw chip melt  
"Firstly, the simulations that helped students to visualize the heat transfer in objects. As was pointed out, it is difficult for students to visualize heat so using technology to illustrate this was quite effective.\r\n\r\nSecondly, the idea of the students manipulating and interacting with the software helped students to learn the concept.",firstly  the simulations that helped students to visualize the heat transfer in objects. as was pointed out  it is difficult for students to visualize heat so using technology to illustrate this was quite effective.    secondly  the idea of the students manipulating and interacting with the software helped students to learn the concept.,firstly simulation help student visualize heat transfer object point difficult student visualize heat use technology illustrate quite effective secondly idea student manipulate interact software help student learn concept  
The simulations were great. They seemed to hold their interest. I also liked that there were questions for the students to answer so she could gauge their understanding.,the simulations were great. they seemed to hold their interest. i also liked that there were questions for the students to answer so she could gauge their understanding.,simulation great seem hold interest also like question student answer gauge understanding  
"The WISE platform effectively structures the inquiry exercise for the students: it asks them to, in the words of Jennifer, reflect on various scenarios, collaborate with partners, and make and test their predictions. Particularly effective was the program's ability to engage the students in a variety of simulations, giving them the opportunity to connect the abstract and the concrete as the developed pictures in their minds and then touched the materials in the classroom to test theories. Also effective is the way the program breaks down concepts into small manageable pieces and then scaffolds them for synthesis by the students.",the wise platform effectively structures the inquiry exercise for the students  it asks them to  in the words of jennifer  reflect on various scenarios  collaborate with partners  and make and test their predictions. particularly effective was the program's ability to engage the students in a variety of simulations  giving them the opportunity to connect the abstract and the concrete as the developed pictures in their minds and then touched the materials in the classroom to test theories. also effective is the way the program breaks down concepts into small manageable pieces and then scaffolds them for synthesis by the students.,wise platform effectively structure inquiry exercise student ask word jennifer reflect various scenario collaborate partner make test prediction particularly effective program ability engage student variety simulation give opportunity connect abstract concrete developed picture mind touch material classroom test theory also effective way program break concept small manageable piece scaffold synthesis student  
" I think that the use of various materials  and assessment tools ; lectures, videos, and some demonstrations in the classroom helps a lot the students to learn the topics and also to test their predictions.", i think that the use of various materials  and assessment tools   lectures  videos  and some demonstrations in the classroom helps a lot the students to learn the topics and also to test their predictions.,think use various material assessment tool lecture video demonstration classroom help lot student learn topic also test prediction  
"I think that the various examples using diagrams would be most effective.  For example, the portion using animation to show how heat is absorbed from skin would be easier for students to comprehend versus simply reading the information. I also thought that the activity seemed easily adaptable which is important as a teacher.  It was stated that the activity automatically scaffolded the lessons which would be perfect for a teacher to make sure that no students are left behind.  ",i think that the various examples using diagrams would be most effective.  for example  the portion using animation to show how heat is absorbed from skin would be easier for students to comprehend versus simply reading the information. i also thought that the activity seemed easily adaptable which is important as a teacher.  it was stated that the activity automatically scaffolded the lessons which would be perfect for a teacher to make sure that no students are left behind.  ,think various example use diagram effective example portion use animation show heat absorb skin easy student comprehend versus simply read information also think activity seem easily adaptable important teacher state activity automatically scaffold lesson perfect teacher make sure student leave  
"Breaking down concepts and having kids experiment with them. The hands on approach has definitely given me good results, so I guess this time around it was the same.",breaking down concepts and having kids experiment with them. the hands on approach has definitely given me good results  so i guess this time around it was the same.,break concept kid experiment hand approach definitely give good result guess time  
The most important aspect were the possibility to visualize and test all the theory that was discussed previous in clads,the most important aspect were the possibility to visualize and test all the theory that was discussed previous in clads,important aspect possibility visualize test theory discuss previous clads 
Utilization of multiple avenues that allowed students to hypothesize and explore learning objectives is highly beneficial.  The ability for students to be exposed to effective frequency of key learning points made this activity very useful.,utilization of multiple avenues that allowed students to hypothesize and explore learning objectives is highly beneficial.  the ability for students to be exposed to effective frequency of key learning points made this activity very useful.,utilization multiple avenue allow student hypothesize explore learning objective highly beneficial ability student expose effective frequency key learn point make activity useful  
"As explained in the video, the students are encouraged to investigate, measure, and think about the possible explanations...rather than simply telling them the right answer.",as explained in the video  the students are encouraged to investigate  measure  and think about the possible explanations...rather than simply telling them the right answer.,explain video student encourage investigate measure think possible explanation   rather simply tell right answer  
"WISE ability to create simulation and in capturing the ideas and thinking process of the student that went behind the problem solving process is its biggest strength. This allowed the teacher to engage platform for meaningful discussion based on ideas generated by the learner itself. It generates a complete construct of the learning process by raising enquiry, capturing them and by using these to generate debate and further knowledge",wise ability to create simulation and in capturing the ideas and thinking process of the student that went behind the problem solving process is its biggest strength. this allowed the teacher to engage platform for meaningful discussion based on ideas generated by the learner itself. it generates a complete construct of the learning process by raising enquiry  capturing them and by using these to generate debate and further knowledge,wise ability create simulation capture idea think process student go problem solve process big strength allow teacher engage platform meaningful discussion base idea generate learner generate complete construct learning process raise enquiry capture use generate debate knowledge 
I thought that the simulations and visualizations were very helpful. There is an important difference between a one time teacher demonstration and something that you can look at several times at the students own pace and also understand more fully as their schema about the topic develops. ,i thought that the simulations and visualizations were very helpful. there is an important difference between a one time teacher demonstration and something that you can look at several times at the students own pace and also understand more fully as their schema about the topic develops. ,think simulation visualization helpful important difference time demonstration something look several time student pace also understand fully schema topic develop  
The videos are are actually making the students to predict outcomes for thermodynamics topic.The asked to answer certain questions which are recorded and assessed by the teacher.The ideas of the students are tracked to know their understanding of the topic.Their assessment can be sent to them immediately.The challenging topics needs WISE as their tools.,the videos are are actually making the students to predict outcomes for thermodynamics topic.the asked to answer certain questions which are recorded and assessed by the teacher.the ideas of the students are tracked to know their understanding of the topic.their assessment can be sent to them immediately.the challenging topics needs wise as their tools.,video actually make student predict outcome thermodynamics topic ask answer certain question record assess teacher idea student track know understanding topic assessment send immediately challenge topic need wise tool  
